time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
39.714,0.77,1.69,9.35,0,0
39.774,0.92,1.69,9.19,0,0
39.844,0.92,1.69,9.19,0,0
39.899,0.92,1.69,9.19,0,0
39.954,0.92,1.69,9.19,0,0
40.014,0.92,1.69,9.35,0,0
40.074,0.92,1.69,9.19,0,0
40.134,0.92,1.69,9.35,0,0
40.194,0.92,1.69,9.19,0,0
40.257,0.92,1.69,9.19,0,0
40.317,0.92,1.69,9.19,0,0
40.385,0.92,1.69,9.19,0,0
40.439,0.92,1.69,9.19,0,0
40.494,0.92,1.69,9.35,0,0
40.554,0.77,1.69,9.19,0,0
40.614,0.92,1.84,9.19,0,0
40.674,0.92,1.69,9.35,0,0
40.734,0.92,1.53,9.19,0,0
40.794,0.92,1.69,9.19,0,0
40.854,0.92,1.69,9.19,0,0
40.914,0.77,1.69,9.19,0,0
40.974,0.92,1.69,9.35,0,0
41.034,0.92,1.69,9.19,0,0
41.094,0.92,1.69,9.19,0,0
41.154,0.92,1.69,9.19,0,0
41.214,0.92,1.69,9.19,0,0
41.276,0.92,1.69,9.19,0,0
41.334,0.92,1.69,9.19,0,0
41.395,0.92,1.69,9.19,0,0
41.454,0.92,1.69,9.19,0,0
41.514,0.92,1.69,9.19,0,0
41.574,0.92,1.69,9.19,0,0
41.634,0.92,1.69,9.19,0,0
41.694,0.77,1.69,9.35,0,0
41.754,0.92,1.69,9.19,0,0
41.814,0.92,1.69,9.19,0,0
41.874,0.92,1.69,9.19,0,0
41.934,0.92,1.69,9.19,0,0
41.994,0.92,1.69,9.19,0,0
42.054,0.92,1.69,9.19,0,0
42.114,0.92,1.69,9.35,0,0
42.174,0.92,1.69,9.19,0,0
42.234,0.92,1.69,9.35,0,0
42.299,0.92,1.69,9.19,0,0
42.354,0.92,1.84,9.19,0,0
42.414,0.77,1.69,9.19,0,0
42.486,0.92,1.69,9.35,0,0
42.534,0.92,1.84,9.19,0,0
42.594,0.92,1.69,9.19,0,0
42.654,0.92,1.69,9.19,0,0
42.714,0.92,1.69,9.19,0,0
42.774,0.92,1.69,9.19,0,0
42.844,0.92,1.69,9.19,0,0
42.894,0.92,1.69,9.35,0,0
42.954,0.92,1.69,9.19,0,0
43.014,0.92,1.69,9.19,0,0
43.074,0.92,1.69,9.35,0,0
43.134,0.92,1.69,9.19,0,0
43.194,0.92,1.69,9.19,0,0
43.254,0.92,1.69,9.19,0,0
43.322,0.92,1.69,9.19,0,0
43.375,0.92,1.69,9.35,0,0
43.434,0.92,1.69,9.19,0,0
43.494,0.92,1.69,9.19,0,0
43.554,0.92,1.69,9.19,0,0
43.614,0.92,1.84,9.19,0,0
43.674,0.92,1.69,9.19,0,0
43.734,0.92,1.69,9.35,0,0
43.794,0.92,1.69,9.19,0,0
43.854,0.92,1.69,9.35,0,0
43.914,0.92,1.69,9.19,0,0
43.974,0.92,1.69,9.19,0,0
44.034,0.92,1.69,9.19,0,0
44.102,0.77,1.69,9.19,0,0
44.154,0.92,1.69,9.19,0,0
44.214,0.92,1.69,9.19,0,0
44.274,0.92,1.69,9.19,0,0
44.335,0.92,1.69,9.19,0,0
44.394,0.92,1.69,9.19,0,0
44.454,0.92,1.69,9.19,0,0
44.517,0.92,1.69,9.19,0,0
44.574,0.92,1.69,9.19,0,0
44.634,0.92,1.84,9.19,0,0
44.694,0.92,1.69,9.19,0,0
44.754,0.92,1.69,9.19,0,0
44.814,0.92,1.69,9.19,0,0
44.874,0.92,1.69,9.19,0,0
44.934,0.92,1.69,9.19,0,0
44.994,0.92,1.69,9.19,0,0
45.054,0.92,1.69,9.19,0,0
45.114,0.92,1.69,9.35,0,0
45.174,0.92,1.69,9.19,0,0
45.234,0.92,1.69,9.19,0,0
45.294,0.92,1.69,9.35,0,0
45.354,0.92,1.69,9.19,0,0
45.414,0.77,1.69,9.19,0,0
45.474,0.92,1.69,9.19,0,0
45.534,0.92,1.69,9.19,0,0
45.594,0.77,1.69,9.19,0,0
45.654,0.77,1.69,9.19,0,0
45.722,0.92,1.69,9.19,0,0
45.784,0.92,1.69,9.19,0,0
45.844,0.92,1.69,9.19,0,0
45.894,0.92,1.69,9.19,0,0
45.954,0.92,1.69,9.19,0,0
46.014,0.92,1.69,9.19,0,0
46.074,0.92,1.69,9.19,0,0
46.134,0.92,1.69,9.19,0,0
46.194,0.92,1.69,9.19,0,0
46.254,0.92,1.84,9.19,0,0
46.314,0.92,1.69,9.19,0,0
46.385,0.92,1.69,9.19,0,0
46.434,0.92,1.69,9.19,0,0
46.494,0.92,1.69,9.19,0,0
46.554,0.77,1.69,9.19,0,0
46.614,0.92,1.69,9.19,0,0
46.674,0.92,1.84,9.19,0,0
46.734,0.92,1.69,9.19,0,0
46.794,0.92,1.69,9.19,0,0
46.861,0.92,1.69,9.19,0,0
46.914,0.92,1.69,9.19,0,0
46.974,0.92,1.69,9.19,0,0
47.034,0.92,1.69,9.35,0,0
47.094,0.92,1.69,9.19,0,0
47.154,0.92,1.69,9.19,0,0
47.214,0.92,1.69,9.19,0,0
47.274,0.92,1.69,9.19,0,0
47.334,0.92,1.69,9.19,0,0
47.395,0.92,1.69,9.19,0,0
47.454,0.92,1.69,9.19,0,0
47.514,0.92,1.69,9.35,0,0
47.574,0.92,1.69,9.19,0,0
47.634,0.92,1.69,9.19,0,0
47.694,0.92,1.69,9.19,0,0
47.754,0.92,1.69,9.19,0,0
47.814,0.77,1.69,9.19,0,0
47.874,0.92,1.69,9.19,0,0
47.94,0.92,1.69,9.19,0,0
47.994,0.92,1.69,9.19,0,0
48.054,0.92,1.69,9.19,0,0
48.114,0.92,1.69,9.19,0,0
48.174,0.77,1.69,9.19,0,0
48.234,0.92,1.69,9.19,0,0
48.294,0.92,1.69,9.19,0,0
48.356,0.92,1.69,9.19,0,0
48.414,0.92,1.69,9.19,0,0
48.474,0.92,1.69,9.19,0,0
48.534,0.92,1.69,9.19,0,0
48.594,0.92,1.69,9.19,0,0
48.654,0.77,1.69,9.35,0,0
48.714,0.92,1.69,9.19,0,0
48.774,0.92,1.69,9.19,0,0
48.834,0.92,1.69,9.19,0,0
48.895,0.92,1.69,9.35,0,0
48.954,0.92,1.69,9.19,0,0
49.014,0.92,1.69,9.19,0,0
49.074,0.92,1.69,9.19,0,0
49.134,0.92,1.69,9.19,0,0
49.197,0.92,1.69,9.19,0,0
49.254,0.92,1.84,9.35,0,0
49.314,0.92,1.69,9.35,0,0
49.374,0.77,1.69,9.19,0,0
49.434,0.92,1.69,9.19,0,0
49.494,0.92,1.69,9.19,0,0
49.554,0.92,1.69,9.19,0,0
49.614,0.92,1.69,9.19,0,0
49.674,0.92,1.69,9.19,0,0
49.734,0.92,1.69,9.19,0,0
49.794,0.92,1.69,9.19,0,0
49.861,0.92,1.69,9.19,0,0
49.916,0.92,1.69,9.19,0,0
49.974,0.92,1.69,9.19,0,0
50.034,0.92,1.69,9.19,0,0
50.094,0.92,1.69,9.19,0,0
50.154,0.92,1.69,9.19,0,0
50.214,0.77,1.69,9.19,0,0
50.274,0.92,1.69,9.19,0,0
50.334,0.77,1.69,9.19,0,0
50.395,0.92,1.69,9.19,0,0
50.454,0.92,1.69,9.19,0,0
50.514,0.92,1.84,9.19,0,0
50.574,0.92,1.69,9.19,0,0
50.634,0.77,1.69,9.19,0,0
50.694,0.92,1.69,9.04,0,0
50.754,0.92,1.69,9.19,0,0
50.814,0.92,1.69,9.19,0,0
50.874,0.92,1.69,9.19,0,0
50.934,0.92,1.84,9.19,0,0
50.994,0.92,1.69,9.19,0,0
51.054,0.92,1.69,9.19,0,0
51.114,0.92,1.69,9.19,0,0
51.176,0.92,1.69,9.19,0,0
51.234,0.92,1.69,9.19,0,0
51.294,0.77,1.69,9.19,0,0
51.354,0.92,1.69,9.19,0,0
51.414,0.92,1.69,9.19,0,0
51.474,0.92,1.69,9.19,0,0
51.534,0.92,1.69,9.19,0,0
51.594,0.92,1.69,9.19,0,0
51.655,0.92,1.69,9.19,0,0
51.714,0.92,1.69,9.19,0,0
51.776,0.92,1.69,9.19,0,0
51.834,0.92,1.84,9.19,0,0
51.894,0.92,1.69,9.19,0,0
51.954,0.77,1.69,9.19,0,0
52.024,0.77,1.69,9.19,0,0
52.074,0.92,1.69,9.19,0,0
52.134,0.92,1.69,9.19,0,0
52.194,0.92,1.69,9.19,0,0
52.254,0.77,1.69,9.19,0,0
52.314,0.92,1.69,9.19,0,0
52.376,0.92,1.69,9.19,0,0
52.434,0.92,1.69,9.19,0,0
52.494,0.92,1.69,9.19,0,0
52.554,0.77,1.69,9.19,0,0
52.614,0.92,1.69,9.19,0,0
52.674,0.92,1.69,9.19,0,0
52.734,0.92,1.69,9.19,0,0
52.794,0.92,1.69,9.19,0,0
52.856,0.92,1.69,9.19,0,0
52.914,0.92,1.69,9.19,0,0
52.974,0.92,1.69,9.19,0,0
53.041,0.92,1.69,9.19,0,0
53.094,0.92,1.69,9.19,0,0
53.158,0.92,1.69,9.35,0,0
53.214,0.92,1.69,9.19,0,0
53.274,0.92,1.69,9.19,0,0
53.334,0.92,1.69,9.19,0,0
53.394,0.92,1.69,9.19,0,0
53.454,0.92,1.69,9.19,0,0
53.514,0.92,1.69,9.19,0,0
53.574,0.92,1.69,9.19,0,0
53.634,0.77,1.69,9.19,0,0
53.694,0.92,1.69,9.19,0,0
53.767,0.92,1.69,9.19,0,0
53.814,0.92,1.69,9.19,0,0
53.874,0.92,1.69,9.19,0,0
53.935,0.92,1.69,9.19,0,0
53.994,0.77,1.69,9.19,0,0
54.054,0.92,1.69,9.19,0,0
54.114,0.92,1.84,9.19,0,0
54.174,0.92,1.69,9.19,0,0
54.234,0.92,1.69,9.19,0,0
54.294,0.92,1.69,9.19,0,0
54.356,0.92,1.69,9.19,0,0
54.415,0.77,1.69,9.19,0,0
54.474,0.92,1.69,9.19,0,0
54.534,0.92,1.69,9.19,0,0
54.594,0.92,1.69,9.19,0,0
54.654,0.92,1.69,9.19,0,0
54.714,0.77,1.69,9.19,0,0
54.774,0.92,1.69,9.35,0,0
54.834,0.92,1.69,9.19,0,0
54.894,0.92,1.69,9.19,0,0
54.954,0.92,1.84,9.19,0,0
55.014,0.92,1.69,9.19,0,0
55.074,0.77,1.69,9.19,0,0
55.134,0.92,1.69,9.19,0,0
55.195,0.77,1.69,9.19,0,0
55.254,0.92,1.53,9.19,0,0
55.314,0.92,1.69,9.35,0,0
55.374,0.77,1.69,9.19,0,0
55.434,0.92,1.69,9.19,0,0
55.494,0.92,1.69,9.19,0,0
55.554,0.92,1.84,9.19,0,0
55.614,0.77,1.69,9.19,0,0
55.674,0.77,1.69,9.19,0,0
55.734,1.07,1.69,9.19,0,0
55.796,0.92,1.69,9.19,0,0
55.872,0.92,1.69,9.19,0,0
55.974,0.77,1.69,9.19,0,0
56.034,0.92,1.69,9.19,0,0
56.094,0.92,1.69,9.19,0,0
56.154,0.92,1.69,9.19,0,0
56.214,0.92,1.69,9.19,0,0
56.274,0.92,1.69,9.19,0,0
56.334,0.92,1.69,9.19,0,0
56.41,0.92,1.69,9.19,0,0
56.518,0.77,1.84,9.19,0,0
56.574,0.77,1.69,9.19,0,0
56.634,0.92,1.69,9.19,0,0
56.694,0.92,1.69,9.19,0,0
56.754,0.77,1.69,9.19,0,0
