time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,
46.922,-3.22,3.06,8.73,0,0,28.63445897,77.36615285

46.981,-3.22,3.22,8.73,0,0,28.63445897,77.36615285

47.041,-3.22,2.91,8.58,0,0,28.63445897,77.36615285

47.101,-3.22,3.37,8.89,0,0,28.63445897,77.36615285

47.162,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

47.22,-3.22,3.22,8.89,0,0,28.63445897,77.36615285

47.28,-3.22,2.91,8.58,0,0,28.63445897,77.36615285

47.34,-3.06,3.37,8.73,0,0,28.63445897,77.36615285

47.4,-3.22,2.91,8.58,0,0,28.63445897,77.36615285

47.461,-2.91,3.06,8.73,0,0,28.63445897,77.36615285

47.52,-3.22,3.06,8.58,0,0,28.63445897,77.36615285

47.583,-3.06,3.22,8.89,0,0,28.63445897,77.36615285

47.64,-3.22,3.06,8.73,0,0,28.63445897,77.36615285

47.7,-3.22,2.91,8.73,0,0,28.63445897,77.36615285

47.76,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

47.821,-2.91,2.76,8.89,0,0,28.63445897,77.36615285

47.88,-3.06,2.91,9.19,0,0,28.63445897,77.36615285

47.94,-3.22,2.76,8.89,0,0,28.63445897,77.36615285

48.001,-2.91,2.91,8.73,0,0,28.63445897,77.36615285

48.061,-3.06,3.22,8.58,0,0,28.63445897,77.36615285

48.12,-3.37,3.22,9.04,0,0,28.63445897,77.36615285

48.18,-3.22,2.91,9.04,0,0,28.63445897,77.36615285

48.241,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

48.301,-3.52,2.91,8.89,0,0,28.63445897,77.36615285

48.361,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

48.421,-3.22,3.06,9.04,0,0,28.63445897,77.36615285

48.481,-3.06,2.76,8.73,0,0,28.63445897,77.36615285

48.541,-3.22,3.22,9.04,0,0,28.63445897,77.36615285

48.601,-3.22,3.22,8.73,0,0,28.63445897,77.36615285

48.661,-2.91,2.76,8.89,0,0,28.63445897,77.36615285

48.721,-2.91,3.06,8.89,0,0,28.63445897,77.36615285

48.781,-3.22,3.06,8.73,0,0,28.63445897,77.36615285

48.841,-3.22,2.76,8.73,0,0,28.63445897,77.36615285

48.901,-3.06,2.91,8.89,0,0,28.63445897,77.36615285

48.961,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

49.021,-3.22,2.76,8.89,0,0,28.63445897,77.36615285

49.081,-3.06,3.06,8.89,0,0,28.63445897,77.36615285

49.141,-3.22,2.91,8.89,0,0,28.63445897,77.36615285

49.201,-2.91,3.06,8.73,0,0,28.63445897,77.36615285

49.261,-2.91,2.91,8.89,0,0,28.63445897,77.36615285

49.321,-3.06,2.76,8.73,0,0,28.63445897,77.36615285

49.381,-3.22,2.91,9.04,0,0,28.63445897,77.36615285

49.441,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

49.501,-3.22,2.91,8.89,0,0,28.63445897,77.36615285

49.561,-3.22,2.91,8.89,0,0,28.63445897,77.36615285

49.62,-3.06,3.06,8.89,0,0,28.63445897,77.36615285

49.68,-3.22,2.91,8.89,0,0,28.63445897,77.36615285

49.74,-3.06,2.76,8.73,0,0,28.63445897,77.36615285

49.801,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

49.861,-3.06,2.91,8.89,0,0,28.63445897,77.36615285

49.921,-3.06,2.91,8.89,0,0,28.63445897,77.36615285

49.981,-3.22,2.76,8.89,0,0,28.63445897,77.36615285

50.041,-3.22,3.06,8.73,0,0,28.63445897,77.36615285

50.101,-3.22,2.91,8.73,0,0,28.63445897,77.36615285

50.161,-3.22,2.91,9.04,0,0,28.63445897,77.36615285

50.221,-3.22,3.06,8.89,0,0,28.63445897,77.36615285

50.281,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

50.341,-3.06,3.06,8.89,0,0,28.63445897,77.36615285

50.401,-3.22,2.76,8.89,0,0,28.63445897,77.36615285

50.461,-3.22,2.76,9.04,0,0,28.63445897,77.36615285

50.52,-3.22,2.91,8.73,0,0,28.63445897,77.36615285

50.581,-3.22,2.91,9.04,0,0,28.63445897,77.36615285

50.641,-3.22,2.91,9.04,0,0,28.63445897,77.36615285

50.701,-3.22,2.76,8.89,0,0,28.63445897,77.36615285

50.761,-2.91,2.76,8.73,0,0,28.63445897,77.36615285

50.821,-3.22,2.91,8.89,0,0,28.63445897,77.36615285

50.881,-3.06,2.91,9.04,0,0,28.63445897,77.36615285

50.941,-3.06,2.91,8.43,0,0,28.63445897,77.36615285

51.001,-2.91,2.76,9.04,0,0,28.63445897,77.36615285

51.06,-2.76,3.06,8.89,0,0,28.63445897,77.36615285

51.12,-2.76,3.68,9.04,0,0,28.63445897,77.36615285

51.18,-2.76,3.06,8.73,0,0,28.63445897,77.36615285

51.242,-2.6,2.91,8.89,0,0,28.63445897,77.36615285

51.3,-3.06,2.91,9.04,0,0,28.63445897,77.36615285

51.36,-2.15,3.37,9.35,0,0,28.63445897,77.36615285

51.421,-1.38,4.14,8.89,0,0,28.63445897,77.36615285

51.481,-1.99,3.06,8.89,0,0,28.63445897,77.36615285

51.541,-1.69,3.22,8.73,0,0,28.63445897,77.36615285

51.601,-2.15,3.22,8.89,0,0,28.63445897,77.36615285

51.661,-1.99,3.22,9.19,0,0,28.63445897,77.36615285

51.721,-1.84,3.22,9.19,0,0,28.63445897,77.36615285

51.781,-1.84,3.06,8.89,0,0,28.63445897,77.36615285

51.841,-1.69,3.37,9.04,0,0,28.63445897,77.36615285

51.901,-1.84,3.22,9.04,0,0,28.63445897,77.36615285

51.961,-1.99,3.37,9.04,0,0,28.63445897,77.36615285

52.021,-1.99,3.37,9.19,0,0,28.63445897,77.36615285

52.081,-1.99,3.37,8.89,0,0,28.63445897,77.36615285

52.141,-1.84,3.37,9.19,0,0,28.63445897,77.36615285

52.201,-1.84,3.37,8.89,0,0,28.63445897,77.36615285

52.26,-1.84,3.52,9.04,0,0,28.63445897,77.36615285

52.32,-1.99,3.52,9.19,0,0,28.63445897,77.36615285

52.381,-1.84,3.37,9.04,0,0,28.63445897,77.36615285

52.44,-1.84,3.52,8.73,0,0,28.63445897,77.36615285

52.501,-1.84,3.52,9.04,0,0,28.63445897,77.36615285

52.561,-1.84,3.37,9.04,0,0,28.63445897,77.36615285

52.62,-1.84,3.22,8.89,0,0,28.63445897,77.36615285

52.681,-1.84,3.52,8.89,0,0,28.63445897,77.36615285

52.741,-1.99,3.37,8.89,0,0,28.63445897,77.36615285

52.801,-1.99,3.37,9.19,0,0,28.63445897,77.36615285

52.86,-1.99,3.52,8.89,0,0,28.63445897,77.36615285

52.92,-1.84,3.37,9.04,0,0,28.63445897,77.36615285

52.98,-1.99,3.37,9.04,0,0,28.63445897,77.36615285

53.041,-2.3,3.37,9.19,0,0,28.63445897,77.36615285

53.101,-2.15,3.06,8.89,0,0,28.63445897,77.36615285

53.162,-2.3,3.22,9.04,0,0,28.63445897,77.36615285

53.221,-2.15,3.22,8.58,0,0,28.63445897,77.36615285

53.28,-2.15,3.22,8.89,0,0,28.63445897,77.36615285

53.341,-2.3,3.22,9.35,0,0,28.63445897,77.36615285

53.401,-2.3,3.06,9.04,0,0,28.63445897,77.36615285

53.461,-2.6,3.06,9.04,0,0,28.63445897,77.36615285

53.521,-2.45,2.45,8.43,0,0,28.63445897,77.36615285

53.581,-2.3,3.52,9.19,0,0,28.63445897,77.36615285

53.641,-2.3,3.22,8.89,0,0,28.63445897,77.36615285

53.701,-2.3,2.76,9.04,0,0,28.63445897,77.36615285

