time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
60.344,-0.77,-2.91,9.19,0,0
60.404,-0.61,-2.76,9.19,0,0
60.474,-0.61,-2.76,9.19,0,0
60.534,-0.46,-2.91,9.35,0,0
60.594,-0.61,-2.76,9.19,0,0
60.654,-0.61,-2.76,9.19,0,0
60.724,-0.46,-2.91,9.5,0,0
60.794,-0.61,-2.76,9.35,0,0
60.854,-0.61,-2.91,9.19,0,0
60.916,-0.46,-2.91,9.35,0,0
60.986,-0.46,-2.91,9.35,0,0
61.054,-0.61,-2.76,9.19,0,0
61.114,-0.46,-2.91,9.35,0,0
61.174,-0.61,-2.76,9.19,0,0
61.234,-0.77,-2.76,9.19,0,0
61.294,-0.46,-2.91,9.35,0,0
61.354,-0.61,-2.76,9.19,0,0
61.414,-0.61,-2.76,9.19,0,0
61.474,-0.46,-2.76,9.35,0,0
61.534,-0.61,-2.76,9.19,0,0
61.594,-0.46,-2.76,9.35,0,0
61.654,-0.61,-2.76,9.19,0,0
61.723,-0.61,-2.76,9.19,0,0
61.785,-0.46,-2.91,9.35,0,0
61.844,-0.46,-2.76,9.19,0,0
61.904,-0.77,-2.76,9.19,0,0
61.964,-0.61,-2.91,9.35,0,0
62.024,-0.61,-2.76,9.19,0,0
62.084,-0.61,-2.76,9.19,0,0
62.144,-0.61,-2.76,9.19,0,0
62.204,-0.61,-2.76,9.19,0,0
62.264,-0.46,-2.91,9.35,0,0
62.324,-0.61,-2.76,9.19,0,0
62.384,-0.61,-2.76,9.35,0,0
62.444,-0.61,-2.91,9.35,0,0
62.504,-0.61,-2.76,9.19,0,0
62.564,-0.46,-2.91,9.35,0,0
62.624,-0.61,-2.76,9.19,0,0
62.684,-0.61,-2.76,9.19,0,0
62.744,-0.46,-2.91,9.35,0,0
62.814,-0.61,-2.76,9.19,0,0
62.874,-0.61,-2.76,9.35,0,0
62.934,-0.46,-2.91,9.35,0,0
63.006,-0.61,-2.76,9.19,0,0
63.074,-0.61,-2.76,9.35,0,0
63.134,-0.61,-2.91,9.35,0,0
63.194,-0.61,-2.76,9.19,0,0
63.254,-0.61,-2.76,9.35,0,0
63.314,-0.46,-2.91,9.35,0,0
63.374,-0.61,-2.76,9.19,0,0
63.434,-0.46,-2.91,9.35,0,0
63.494,-0.61,-2.76,9.19,0,0
63.554,-0.77,-2.76,9.04,0,0
63.614,-0.61,-2.76,9.35,0,0
63.674,-0.61,-2.76,9.19,0,0
63.739,-0.77,-2.91,9.19,0,0
63.802,-0.61,-2.76,9.35,0,0
63.864,-0.61,-2.91,9.19,0,0
63.924,-0.77,-2.76,9.19,0,0
63.984,-0.46,-2.76,9.35,0,0
64.044,-0.61,-2.91,9.19,0,0
64.104,-0.61,-2.91,9.35,0,0
64.164,-0.61,-2.91,9.35,0,0
64.224,-0.61,-2.91,9.19,0,0
64.284,-0.61,-2.76,9.35,0,0
64.344,-0.61,-2.76,9.35,0,0
64.404,-0.61,-2.76,9.19,0,0
64.464,-0.46,-2.76,9.35,0,0
64.524,-0.61,-2.91,9.19,0,0
64.584,-0.61,-2.76,9.19,0,0
64.644,-0.61,-2.76,9.35,0,0
64.704,-0.61,-2.91,9.19,0,0
64.764,-0.61,-2.76,9.04,0,0
64.824,-0.61,-2.76,9.35,0,0
64.884,-0.61,-2.76,9.04,0,0
64.944,-0.61,-2.76,9.35,0,0
65.004,-0.46,-2.91,9.35,0,0
65.076,-0.61,-2.76,9.19,0,0
65.144,-0.61,-2.76,9.19,0,0
65.204,-0.46,-2.91,9.35,0,0
65.264,-0.61,-2.76,9.19,0,0
65.324,-0.61,-2.91,9.19,0,0
65.384,-0.61,-2.91,9.35,0,0
65.444,-0.61,-2.91,9.19,0,0
65.504,-0.77,-2.91,9.19,0,0
65.564,-0.61,-2.76,9.35,0,0
65.624,-0.61,-2.76,9.19,0,0
65.693,-0.61,-2.76,9.04,0,0
65.754,-0.61,-2.76,9.35,0,0
65.814,-0.61,-2.76,9.19,0,0
65.874,-0.61,-2.76,9.35,0,0
65.934,-0.61,-2.91,9.35,0,0
65.994,-0.61,-2.76,9.04,0,0
66.054,-0.61,-2.76,9.19,0,0
66.114,-0.61,-2.91,9.35,0,0
66.174,-0.61,-2.76,9.19,0,0
66.234,-0.46,-2.76,9.35,0,0
66.295,-0.61,-2.76,9.19,0,0
66.354,-0.61,-2.76,9.19,0,0
66.414,-0.46,-2.76,9.35,0,0
66.474,-0.46,-2.91,9.19,0,0
66.544,-0.61,-2.76,9.19,0,0
66.604,-0.61,-2.91,9.5,0,0
66.664,-0.61,-2.91,9.35,0,0
66.743,-0.61,-2.76,9.19,0,0
66.805,-0.61,-2.76,9.35,0,0
66.864,-0.61,-2.76,9.19,0,0
66.924,-0.61,-2.76,9.19,0,0
66.992,-0.61,-2.91,9.19,0,0
67.054,-0.61,-2.91,9.35,0,0
67.114,-0.61,-2.76,9.19,0,0
67.18,-0.77,-2.76,9.19,0,0
67.244,-0.46,-2.91,9.35,0,0
67.314,-0.61,-2.91,9.19,0,0
67.374,-0.77,-2.76,9.35,0,0
67.434,-0.61,-2.76,9.5,0,0
67.494,-0.77,-2.91,9.35,0,0
67.564,-0.61,-2.76,9.19,0,0
67.624,-0.61,-2.91,9.35,0,0
67.684,-0.61,-2.76,9.19,0,0
67.744,-0.77,-2.76,9.35,0,0
67.804,-0.61,-2.91,9.35,0,0
67.864,-0.61,-2.76,9.19,0,0
67.924,-0.61,-2.91,9.19,0,0
67.984,-0.46,-2.76,9.35,0,0
68.044,-0.61,-2.76,9.35,0,0
68.104,-0.61,-2.91,9.35,0,0
68.164,-0.61,-2.91,9.35,0,0
68.225,-0.61,-2.91,9.19,0,0
68.284,-0.61,-2.76,9.35,0,0
68.344,-0.61,-2.91,9.19,0,0
68.404,-0.61,-2.76,9.04,0,0
68.474,-0.61,-2.76,9.35,0,0
68.541,-0.46,-2.91,9.35,0,0
68.604,-0.61,-2.76,9.04,0,0
68.664,-0.61,-2.76,9.35,0,0
68.724,-0.61,-2.91,9.35,0,0
68.794,-0.61,-2.76,9.19,0,0
68.854,-0.77,-2.76,9.19,0,0
68.914,-0.61,-2.91,9.35,0,0
68.974,-0.61,-2.76,9.19,0,0
69.035,-0.61,-2.91,9.35,0,0
69.104,-0.61,-2.76,9.19,0,0
