time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
43.471,-2.9,3.26,9.83,0,0,0,0

43.502,-3.55,2.94,8.8,0,0,0,0

43.534,-3.98,2.75,8.19,0,0,0,0

43.566,-3.98,2.64,8,0,0,0,0

43.597,-3.75,2.71,7.93,0,0,0,0

43.629,-3.64,2.94,7.74,0,0,0,0

43.66,-3.47,3.21,7.8,0,0,0,0

43.692,-3.41,3.41,8.23,0,0,0,0

43.724,-3.36,3.47,8.27,0,0,0,0

43.755,-3.41,3.41,8.35,0,0,0,0

43.787,-3.55,3.36,8.61,0,0,0,0

43.82,-3.75,3.17,8.77,0,0,0,0

43.86,-3.79,3.06,8.99,0,0,0,0

43.897,-3.55,2.86,8.96,0,0,0,0

43.935,-3.17,2.86,8.88,0,0,0,0

43.967,-3.06,2.94,8.5,0,0,0,0

43.998,-3.17,3.06,8.19,0,0,0,0

44.03,-3.21,3.21,8.16,0,0,0,0

44.062,-3.26,3.28,8.23,0,0,0,0

44.093,-3.36,3.41,8.42,0,0,0,0

44.125,-3.32,3.36,8.73,0,0,0,0

44.157,-3.32,3.28,8.92,0,0,0,0

44.188,-3.28,3.26,8.96,0,0,0,0

44.22,-3.28,3.28,8.99,0,0,0,0

44.252,-3.41,3.36,8.61,0,0,0,0

44.283,-3.47,3.47,8.61,0,0,0,0

44.315,-3.45,3.45,8.88,0,0,0,0

44.347,-3.28,3.26,8.99,0,0,0,0

44.378,-2.79,3.13,8.69,0,0,0,0

44.41,-2.48,3.09,8.73,0,0,0,0

44.442,-2.1,3.02,8.65,0,0,0,0

44.474,-2.18,3.09,8.12,0,0,0,0

44.505,-2.45,3.09,8,0,0,0,0

44.537,-2.86,3.06,8.88,0,0,0,0

44.568,-3.09,3.41,9.38,0,0,0,0

44.6,-2.79,3.6,9.22,0,0,0,0

44.632,-2.56,3.45,9.11,0,0,0,0

44.663,-2.45,2.9,9.03,0,0,0,0

44.695,-2.64,2.79,9.41,0,0,0,0

44.727,-2.79,2.75,9.77,0,0,0,0

44.758,-2.79,2.56,9.53,0,0,0,0

44.79,-2.86,2.52,9.34,0,0,0,0

44.822,-2.75,2.64,9.11,0,0,0,0

44.854,-2.45,2.79,8.88,0,0,0,0

44.887,-2.29,2.9,8.8,0,0,0,0

44.92,-2.25,2.98,8.65,0,0,0,0

44.958,-2.03,3.26,8.35,0,0,0,0

44.996,-1.8,3.36,8.77,0,0,0,0

45.03,-1.72,3.26,8.77,0,0,0,0

45.061,-1.72,3.28,8.92,0,0,0,0

45.093,-1.8,3.26,9.11,0,0,0,0

45.125,-1.87,3.13,9.15,0,0,0,0

45.157,-1.99,3.32,8.84,0,0,0,0

45.189,-2.03,3.55,8.73,0,0,0,0

45.221,-1.99,3.45,9.15,0,0,0,0

45.252,-2.18,3.06,9.34,0,0,0,0

45.284,-2.41,3.06,9.3,0,0,0,0

45.316,-2.48,3.21,9.26,0,0,0,0

45.347,-2.29,3.17,8.99,0,0,0,0

45.379,-2.06,3.13,8.8,0,0,0,0

45.411,-1.99,3.09,8.38,0,0,0,0

45.443,-1.99,3.13,8.73,0,0,0,0

45.474,-1.91,3.17,8.96,0,0,0,0

45.506,-1.76,3.09,9.11,0,0,0,0

45.538,-1.76,3.13,9.38,0,0,0,0

45.569,-1.72,3.13,9.34,0,0,0,0

45.601,-1.76,3.13,9.22,0,0,0,0

45.632,-1.72,3.21,9.03,0,0,0,0

45.664,-1.68,3.21,8.8,0,0,0,0

45.696,-1.76,3.26,8.58,0,0,0,0

45.727,-1.84,3.28,8.58,0,0,0,0

45.759,-1.87,3.09,9.11,0,0,0,0

45.79,-1.87,2.94,9.64,0,0,0,0

45.822,-1.91,2.94,9.38,0,0,0,0

45.854,-1.76,3.02,9.26,0,0,0,0

45.885,-1.63,2.94,9.45,0,0,0,0

45.917,-1.42,2.94,9.38,0,0,0,0

45.949,-1.23,2.9,9.34,0,0,0,0

45.983,-1.29,2.9,9.64,0,0,0,0

46.015,-1.42,2.79,9.64,0,0,0,0

