time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata
40.050000000000004 s, 0.46 , -0.54 , 8.31,0,0,28.57958104,77.21447182
40.08 s, 0.96 , -1.3800000000000001 , 9.26,0,0,28.57958104,77.21447182
40.111000000000004 s, 2.3000000000000003 , -0.96 , 10.11,0,0,28.57958104,77.21447182
40.141 s, 0.5 , -0.6900000000000001 , 11.370000000000001,0,0,28.57958104,77.21447182
40.172000000000004 s, -0.8 , -1.1500000000000001 , 11.18,0,0,28.57958104,77.21447182
40.203 s, -0.46 , -0.34 , 9.72,0,0,28.57958104,77.21447182
40.234 s, -0.15 , 0.31 , 8.88,0,0,28.57958104,77.21447182
40.265 s, 0.38 , 0.27 , 9.42,0,0,28.57958104,77.21447182
40.296 s, 1.84 , 0.27 , 9.72,0,0,28.57958104,77.21447182
40.327 s, 2.5300000000000002 , 0.27 , 9.15,0,0,28.57958104,77.21447182
40.357 s, 2.91 , 0.19 , 8.8,0,0,28.57958104,77.21447182
40.388 s, 3.83 , -0.92 , 9.07,0,0,28.57958104,77.21447182
40.419000000000004 s, 5.13 , -1.57 , 7.8500000000000005,0,0,28.57958104,77.21447182
40.449 s, 5.4 , -2.45 , 7.46,0,0,28.57958104,77.21447182
40.480000000000004 s, 5.97 , -3.67 , 7.69,0,0,28.57958104,77.21447182
40.51 s, 5.78 , -3.29 , 7.58,0,0,28.57958104,77.21447182
40.541000000000004 s, 5.78 , -1.9100000000000001 , 7.3500000000000005,0,0,28.57958104,77.21447182
40.571 s, 5.67 , -3.48 , 7.69,0,0,28.57958104,77.21447182
40.602000000000004 s, 5.93 , -2.5300000000000002 , 7.69,0,0,28.57958104,77.21447182
40.633 s, 5.36 , -2.3000000000000003 , 7.69,0,0,28.57958104,77.21447182
40.663000000000004 s, 4.0600000000000005 , -2.68 , 8.58,0,0,28.57958104,77.21447182
