time,x-axis,y-axis,z-axis,Event1,Event2, ,
50.974000000000004 s,-1.07,1.69,9.19,0,0,28.64552929,77.31799159

50.994 s,-1.07,1.69,9.19,0,0,28.64552929,77.31799159

51.014 s,-1.23,1.69,9.19,0,0,28.64552929,77.31799159

51.034 s,-1.23,1.69,9.04,0,0,28.64552929,77.31799159

51.054 s,-1.23,1.69,9.04,0,0,28.64552929,77.31799159

51.074 s,-1.23,1.69,9.04,0,0,28.64552929,77.31799159

51.094 s,-1.23,1.69,9.04,0,0,28.64552929,77.31799159

51.119 s,-1.07,1.69,9.19,0,0,28.64552929,77.31799159

51.137 s,-1.07,1.53,9.35,0,0,28.64552929,77.31799159

51.158 s,-1.07,1.53,9.35,0,0,28.64552929,77.31799159

51.176 s,-1.23,1.53,9.35,0,0,28.64552929,77.31799159

51.196 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

51.214 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

51.237 s,-1.07,1.69,9.19,0,0,28.64552929,77.31799159

51.265 s,-1.07,1.69,9.04,0,0,28.64552929,77.31799159

51.295 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

51.314 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

51.334 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.354 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.374 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.394 s,-1.23,1.38,9.5,0,0,28.64549966,77.31796781

51.414 s,-1.23,1.38,9.5,0,0,28.64549966,77.31796781

51.434000000000005 s,-1.38,1.38,9.19,0,0,28.64549966,77.31796781

51.454 s,-1.23,1.38,9.19,0,0,28.64549966,77.31796781

51.474000000000004 s,-1.23,1.38,9.19,0,0,28.64549966,77.31796781

51.494 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.514 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.534 s,-1.07,1.53,9.35,0,0,28.64549966,77.31796781

51.554 s,-1.07,1.53,9.04,0,0,28.64549966,77.31796781

51.582 s,-1.23,1.53,9.35,0,0,28.64549966,77.31796781

51.621 s,-1.23,1.84,9.35,0,0,28.64549966,77.31796781

51.654 s,-0.92,1.69,8.89,0,0,28.64549966,77.31796781

51.674 s,-0.92,1.69,8.89,0,0,28.64549966,77.31796781

51.694 s,-1.07,1.53,9.35,0,0,28.64549966,77.31796781

51.714 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

51.734 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

51.754 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.774 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

